date,id_compteur,nb_passages
2025-01-15,100056188,424
2025-01-15,300014985,662
2025-01-15,300014986,650
2025-01-15,300014993,187
2025-01-15,300014994,136
2025-01-15,300014995,743
2025-01-15,300014996,622
2025-01-15,300020478,215
2025-01-15,300020679,1025
2025-01-15,300020816,449
2025-01-15,300020817,381
2025-01-15,300021685,0
2025-01-15,300028650,151
2025-01-15,ZLT24020668,81
2025-01-15,ZLT24020669,75
2025-01-16,100001753,185
2025-01-16,100003032,810
2025-01-16,100003040,14
2025-01-16,100003041,460
2025-01-16,100003042,412
2025-01-16,100004575,0
2025-01-16,100007390,833
2025-01-16,100011747,163
2025-01-16,100011783,179
2025-01-16,100012217,354
2025-01-16,100017441,657
2025-01-16,100017523,127
2025-01-16,100025474,1141
2025-01-16,100035408,111
2025-01-16,100035409,0
2025-01-16,100041114,24
2025-01-16,100047030,179
2025-01-16,100052600,388
2025-01-16,100052602,7
2025-01-16,100052603,32
2025-01-16,100052605,11
2025-01-16,100052606,68
2025-01-16,100053055,28
2025-01-16,100053059,92
2025-01-16,100053210,44
2025-01-16,100054073,53
2025-01-16,100055268,134
2025-01-16,100056188,392
2025-01-16,300014985,650
2025-01-16,300014986,596
2025-01-16,300014993,183
2025-01-16,300014994,140
2025-01-16,300014995,722
2025-01-16,300014996,659
2025-01-16,300020478,193
2025-01-16,300020679,1085
2025-01-16,300020816,440
2025-01-16,300020817,348
2025-01-16,300021685,1
2025-01-16,300028650,150
2025-01-16,ZLT24020668,69
2025-01-16,ZLT24020669,69
2025-01-17,100001753,115
2025-01-17,100003032,654
2025-01-17,100003040,8
2025-01-17,100003041,354
2025-01-17,100003042,314
2025-01-17,100004575,0
2025-01-17,100007390,1841
2025-01-17,100011747,99
2025-01-17,100011783,132
2025-01-17,100012217,403
2025-01-17,100017441,513
2025-01-17,100017523,96
2025-01-17,100025474,690
2025-01-17,100035408,111
2025-01-17,100035409,0
2025-01-17,100041114,50
2025-01-17,100047030,146
2025-01-17,100052600,327
2025-01-17,100052602,4
2025-01-17,100052603,25
2025-01-17,100052605,25
2025-01-17,100052606,74
2025-01-17,100053055,13
2025-01-17,100053059,69
2025-01-17,100053210,47
2025-01-17,100054073,56
2025-01-17,100055268,131
2025-01-17,100056188,387
2025-01-17,300014985,530
2025-01-17,300014986,490
2025-01-17,300014993,140
2025-01-17,300014994,127
2025-01-17,300014995,601
2025-01-17,300014996,525
2025-01-17,300020478,150
2025-01-17,300020679,848
2025-01-17,300020816,340
2025-01-17,300020817,305
2025-01-17,300021685,0
2025-01-17,300028650,141
2025-01-17,ZLT24020668,58
2025-01-17,ZLT24020669,60
2025-01-18,100001753,53
2025-01-18,100003032,290
2025-01-18,100003040,8
2025-01-18,100003041,126
2025-01-18,100003042,127
2025-01-18,100004575,0
2025-01-18,100007390,1258
2025-01-18,100011747,47
2025-01-18,100011783,74
2025-01-18,100012217,244
2025-01-18,100017441,175
2025-01-18,100017523,75
2025-01-18,100025474,463
2025-01-18,100035408,38
2025-01-18,100035409,0
2025-01-18,100041114,138
2025-01-18,100047030,52
2025-01-18,100052600,182
2025-01-18,100052602,2
2025-01-18,100052603,9
2025-01-18,100052605,26
2025-01-18,100052606,38
2025-01-18,100053055,4
2025-01-18,100053059,71
2025-01-18,100053210,26
2025-01-18,100054073,22
2025-01-18,100055268,54
2025-01-18,100056188,207
2025-01-18,300014985,309
2025-01-18,300014986,260
2025-01-18,300014993,55
2025-01-18,300014994,50
2025-01-18,300014995,301
2025-01-18,300014996,298
2025-01-18,300020478,74
2025-01-18,300020679,451
2025-01-18,300020816,179
2025-01-18,300020817,149
2025-01-18,300021685,0
2025-01-18,300028650,108
2025-01-18,ZLT24020668,49
2025-01-18,ZLT24020669,54
2025-01-19,100001753,35
2025-01-19,100003032,161
2025-01-19,100003040,2
2025-01-19,100003041,57
2025-01-19,100003042,95
2025-01-19,100004575,0
2025-01-19,100007390,379
2025-01-19,100011747,23
2025-01-19,100011783,59
2025-01-19,100012217,149
2025-01-19,100017441,108
2025-01-19,100017523,36
2025-01-19,100025474,490
2025-01-19,100035408,21
2025-01-19,100035409,0
2025-01-19,100041114,13
2025-01-19,100047030,21
2025-01-19,100052600,141
2025-01-19,100052602,3
2025-01-19,100052603,13
2025-01-19,100052605,6
2025-01-19,100052606,28
2025-01-19,100053055,2
2025-01-19,100053059,48
2025-01-19,100053210,32
2025-01-19,100054073,10
2025-01-19,100055268,60
2025-01-19,100056188,112
2025-01-19,300014985,179
2025-01-19,300014986,157
2025-01-19,300014993,36
2025-01-19,300014994,34
2025-01-19,300014995,227
2025-01-19,300014996,149
2025-01-19,300020478,35
2025-01-19,300020679,288
2025-01-19,300020816,107
2025-01-19,300020817,99
2025-01-19,300021685,0
2025-01-19,300028650,70
2025-01-19,ZLT24020668,27
2025-01-19,ZLT24020669,27
2025-01-20,100001753,119
2025-01-20,100003032,527
2025-01-20,100003040,3
2025-01-20,100003041,281
2025-01-20,100003042,308
