annee,arrond_id,code_type_base_demande,nombre_permis_emis,cout_permis_emis,cout_travaux_estimes
1997,5,CO,51,84628.01,15411000.0
1997,5,DE,60,4965.0,
1997,5,TR,636,798169.71,30035447.0
1997,8,CO,20,8536.0,1676640.0
1997,8,DE,26,3045.0,
1997,8,TR,271,120831.71,17039461.0
1997,4,CO,74,51440.76,11438713.0
1997,4,DE,55,2485.0,
1997,4,TR,393,213393.39,32521613.0
1997,9,CO,241,141952.96,30594548.0
1997,9,DE,25,2440.0,
1997,9,TR,252,62880.57,10379002.0
1997,3,CO,51,53019.16,9129108.0
1997,3,DE,53,3650.0,
1997,3,TR,436,120365.96,19239644.0
1997,27,CA,491,45211.24,23276236.0
1997,27,CO,159,104238.27,58342800.0
1997,27,DE,19,16668.0,
1997,27,TR,65,58526.0,23864794.0
1997,16,CO,537,44254.0,18252660.0
1997,16,DE,167,4325.0,
1997,6,CO,36,318987.0,48070194.0
1997,6,DE,43,6150.0,
1997,6,TR,985,1052315.84,178260604.0
1997,2,CO,18,34984.0,5526000.0
1997,2,DE,31,1825.0,
1997,2,TR,411,130287.25,20333375.0
1998,1,CO,62,72937.38,10176889.0
1998,1,DE,19,3285.0,
1998,1,TR,350,231873.84,34581617.0
1998,7,CO,19,133135.0,24018000.0
1998,7,DE,26,3090.0,
1998,7,TR,384,337603.72,45840506.0
1998,22,"CA, CO, DE, TR",253,35872.0,11387785.0
1998,13,CA,2083,247888.0,1441383.0
1998,13,CO,245,72131.46,45684239.0
1998,13,TR,104,10364.0,5307000.0
1998,5,CO,45,115650.77,17105000.0
1998,5,DE,54,1855.0,
1998,5,TR,650,308203.36,45788121.0
1998,8,CO,25,69499.5,10447522.0
1998,8,DE,35,1850.0,
1998,8,TR,266,141052.09,21973312.0
1998,4,CO,62,125953.0,18418642.0
1998,4,DE,44,4659.0,
1998,4,TR,401,222234.0,58915451.0
1998,9,CO,265,187477.45,34011057.0
1998,9,DE,18,4057.0,
1998,9,TR,256,236880.37,36452474.0
1998,3,CO,113,132774.51,30576333.0
1998,3,DE,52,2785.0,
1998,3,TR,337,184675.41,19211940.0
