heure,id_compteur,nb_passages
02:15:00,300014993,372
02:15:00,300014994,22
02:15:00,300014995,1337
02:15:00,300014996,674
02:15:00,300020478,583
02:15:00,300020679,587
02:15:00,300020816,324
02:15:00,300020817,736
02:15:00,300021685,18
02:15:00,300022314,0
02:15:00,300028650,170
02:15:00,ZLT24020668,172
02:15:00,ZLT24020669,129
02:30:00,100001753,308
02:30:00,100003032,1167
02:30:00,100003040,6
02:30:00,100003041,605
02:30:00,100003042,568
02:30:00,100004575,0
02:30:00,100007390,1937
02:30:00,100011747,138
02:30:00,100011783,393
02:30:00,100012217,531
02:30:00,100012218,202
02:30:00,100017441,618
02:30:00,100017523,34
02:30:00,100025474,840
02:30:00,100034805,0
02:30:00,100035408,9
02:30:00,100035409,0
02:30:00,100041114,48
02:30:00,100047030,427
02:30:00,100052600,827
02:30:00,100052602,22
02:30:00,100052603,284
02:30:00,100052605,87
02:30:00,100052606,210
02:30:00,100053055,50
02:30:00,100053059,39
02:30:00,100053210,62
02:30:00,100054073,58
02:30:00,100055268,253
02:30:00,100056188,1083
02:30:00,300014985,750
02:30:00,300014986,1470
02:30:00,300014993,246
02:30:00,300014994,21
02:30:00,300014995,1652
02:30:00,300014996,562
02:30:00,300020478,550
02:30:00,300020679,480
02:30:00,300020816,277
02:30:00,300020817,668
02:30:00,300021685,19
02:30:00,300022314,0
02:30:00,300028650,169
02:30:00,ZLT24020668,171
02:30:00,ZLT24020669,158
02:45:00,100001753,256
02:45:00,100003032,955
02:45:00,100003040,7
02:45:00,100003041,532
02:45:00,100003042,512
02:45:00,100004575,0
02:45:00,100007390,1818
02:45:00,100011747,112
02:45:00,100011783,263
02:45:00,100012217,656
02:45:00,100012218,160
02:45:00,100017441,588
02:45:00,100017523,50
02:45:00,100025474,748
02:45:00,100034805,5
02:45:00,100035408,9
02:45:00,100035409,0
02:45:00,100041114,27
02:45:00,100047030,389
02:45:00,100052600,618
02:45:00,100052602,32
02:45:00,100052603,270
02:45:00,100052605,48
02:45:00,100052606,172
02:45:00,100053055,38
